id,State,TotalElectoralVotes,TrumpElectoral,TrumpElectoralOther,ClintonElectoral,ClintonElectoralOther,TotalPopulation,TotalPopularVotes,TrumpPopular,ClintonPopular
1,Alabama,9,9,0,0,0,"4,863,300","2,123,372","1,318,255","729,547"
2,Alaska,3,3,0,0,0,"741,894","309,407","163,387","116,454"
3,Arizona,11,11,0,0,0,"6,931,071","2,571,689","1,252,401","1,161,167"
4,Arkansas,6,6,0,0,0,"2,988,248","1,130,635","684,872","380,494"
5,California,55,0,0,55,0,"39,250,017","14,080,413","4,483,810","8,753,788"
6,Colorado,9,0,0,9,0,"5,540,545","2,780,247","1,202,484","1,338,870"
7,Connecticut,7,0,0,7,0,"3,576,452","1,644,860","673,197","897,524"
8,Delaware,3,0,0,3,0,"952,065","442,407","185,127","235,603"
9,District of Columbia,3,0,0,3,0,"681,170","311,268","12,723","282,830"
10,Florida,29,29,0,0,0,"20,612,439","9,420,039","4,617,886","4,504,975"
11,Georgia,16,16,0,0,0,"10,310,371","4,092,373","2,089,104","1,877,963"
12,Hawaii,4,0,0,3,1,"1,428,557","428,937","128,847","266,891"
13,Idaho,4,4,0,0,0,"1,683,140","690,255","409,055","189,765"
14,Illinois,20,0,0,20,0,"12,801,539","5,523,142","2,146,015","3,090,729"
15,Indiana,11,11,0,0,0,"6,633,053","2,740,966","1,557,286","1,039,126"
16,Iowa,6,6,0,0,0,"3,134,693","1,548,285","800,983","653,669"
17,Kansas,6,6,0,0,0,"2,907,289","1,176,935","427,005","671,018"
18,Kentucky,8,8,0,0,0,"4,436,974","1,924,149","1,202,971","628,854"
19,Louisiana,8,8,0,0,0,"4,681,666","2,029,032","1,178,638","780,154"
20,Maine,4,1,0,3,0,"1,331,479","765,927","353,593","357,735"
21,Maryland,10,0,0,10,0,"6,016,447","2,750,173","943,169","1,679,928"
22,Massachusetts,11,0,0,11,0,"6,811,779","3,271,768","1,090,893","1,995,196"
23,Michigan,16,16,0,0,0,"9,928,300","4,799,284","2,279,543","2,268,839"
24,Minnesota,10,0,0,10,0,"5,519,952","2,918,099","1,322,951","1,367,716"
25,Mississippi,6,6,0,0,0,"2,988,726","1,227,523","485,131","700,714"
26,Missouri,10,10,0,0,0,"6,093,000","2,808,557","1,594,511","1,071,068"
27,Montana,3,3,0,0,0,"1,042,520","494,526","279,240","177,709"
28,Nebraska,5,5,0,0,0,"1,907,116","828,176","284,494","495,961"
29,Nevada,6,0,0,6,0,"2,940,058","1,096,522","512,058","539,260"
30,New Hampshire,4,0,0,4,0,"1,334,795","732,267","345,790","348,526"
31,New Jersey,14,0,0,14,0,"8,944,469","3,874,046","1,601,933","2,148,278"
32,New Mexico,5,0,0,5,0,"2,081,015","798,318","385,234","319,666"
33,New York,29,0,0,29,0,"19,745,289","7,563,210","2,790,073","4,491,191"
34,North Carolina,15,15,0,0,0,"10,146,788","4,694,186","2,362,632","2,189,322"
35,North Dakota,3,3,0,0,0,"757,952","344,360","216,794","93,758"
36,Ohio,18,18,0,0,0,"11,614,373","5,468,775","2,814,005","2,394,164"
37,Oklahoma,7,7,0,0,0,"3,923,561","1,452,992","949,136","420,375"
38,Oregon,7,0,0,7,0,"4,093,465","1,928,443","782,269","1,001,964"
39,Pennsylvania,20,20,0,0,0,"12,784,227","6,115,402","2,970,733","2,926,441"
40,Rhode Island,4,0,0,4,0,"1,056,426","464,144","180,543","252,525"
41,South Carolina,9,9,0,0,0,"4,961,119","2,103,037","1,155,389","855,373"
42,South Dakota,3,3,0,0,0,"865,454","370,093","227,721","117,458"
43,Tennessee,11,11,0,0,0,"6,651,194","2,508,027","1,522,925","870,695"
44,Texas,38,36,2,0,0,"27,862,596","8,969,226","4,685,047","3,877,868"
45,Utah,6,6,0,0,0,"3,051,217","1,131,430","310,676","515,231"
46,Vermont,3,0,0,3,0,"624,594","315,067","95,369","178,573"
47,Virginia,13,0,0,13,0,"8,411,808","3,950,882","1,769,443","1,981,473"
48,Washington,12,0,0,8,4,"7,288,000","3,209,214","1,221,747","1,742,718"
49,West Virginia,5,5,0,0,0,"1,831,102","714,423","188,794","489,371"
50,Wisconsin,10,10,0,0,0,"5,778,708","2,976,150","1,405,284","1,382,536"
51,Wyoming,3,3,0,0,0,"585,501","248,945","174,419","55,973"
52,Total,538,304,2,227,5,323127513,135861603,61835585,66907026
